Year,m,d,Time,Time zone,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Maximum temperature (degC),Minimum temperature (degC)
1960,12,31,00:00,UTC,0.6,-1,-1.6,0,-2.6
1961,1,1,00:00,UTC,1.9,-1,-1.5,-1.1,-2.2
1961,1,2,00:00,UTC,1,3,0.1,1.6,-1.6
1961,1,3,00:00,UTC,0.7,3,0.1,1.7,-0.3
1961,1,4,00:00,UTC,9.2,-1,0.3,0.6,-1.8
1961,1,5,00:00,UTC,7.8,2,1.9,3.2,0.6
1961,1,6,00:00,UTC,5.7,6,1.4,3.6,0.1
1961,1,7,00:00,UTC,-1,2,1.6,2.2,-0.5
1961,1,8,00:00,UTC,3.3,1,0.5,1.8,0.3
1961,1,9,00:00,UTC,0.4,7,-2.5,0.5,-4
1961,1,10,00:00,UTC,1,7,-1.3,1.5,-5.4
1961,1,11,00:00,UTC,5.3,7,1.2,2.2,0.9
1961,1,12,00:00,UTC,1.2,2,-0.6,1.4,-6.9
1961,1,13,00:00,UTC,5.3,3,-0.1,1.2,-4
1961,1,14,00:00,UTC,0.1,4,0.7,1.3,-0.1
1961,1,15,00:00,UTC,0,2,0,3.2,-0.9
1961,1,16,00:00,UTC,-1,1,-7.4,2,-11.5
1961,1,17,00:00,UTC,0,1,-9.8,-9.8,-14.8
1961,1,18,00:00,UTC,0.1,1,-2.7,0.7,-11.8
1961,1,19,00:00,UTC,0,1,-0.7,0.6,-1.4
1961,1,20,00:00,UTC,0,1,-4.6,0.3,-9.4
1961,1,21,00:00,UTC,-1,1,-6,-4.2,-11.1
1961,1,22,00:00,UTC,0,1,-7.2,-2.8,-10.8
1961,1,23,00:00,UTC,0.1,1,-9.1,-6.4,-10.7
1961,1,24,00:00,UTC,0,1,-11.6,-7,-15.5
1961,1,25,00:00,UTC,-1,1,-10,-8.4,-15.6
1961,1,26,00:00,UTC,-1,1,-4.3,-0.9,-9.3
1961,1,27,00:00,UTC,-1,1,-0.7,0,-2.7
1961,1,28,00:00,UTC,0.2,1,0.9,2.6,-1.7
1961,1,29,00:00,UTC,6.1,1,1.5,2.6,-1.8
1961,1,30,00:00,UTC,5,1,1.8,3.5,0.7
1961,1,31,00:00,UTC,0.2,-1,0.5,3.5,-0.9
1961,2,1,00:00,UTC,1.5,1,1.7,2.5,-0.6
1961,2,2,00:00,UTC,5.2,1,1.8,2.4,0.4
1961,2,3,00:00,UTC,0.1,2,1,2.3,0.5
1961,2,4,00:00,UTC,2.2,2,-0.5,1.5,-0.7
1961,2,5,00:00,UTC,0,6,-4.1,-0.6,-5.1
1961,2,6,00:00,UTC,0.5,6,-3.4,-0.4,-8.4
1961,2,7,00:00,UTC,2.6,5,0.2,0,-2.3
1961,2,8,00:00,UTC,0,5,0.9,2.7,-0.3
1961,2,9,00:00,UTC,0,3,-2.5,2.4,-3.4
1961,2,10,00:00,UTC,3.2,3,-2.9,-2.1,-8
1961,2,11,00:00,UTC,0.7,5,1.2,2.3,-2.1
1961,2,12,00:00,UTC,-1,2,0.8,2.3,-0.2
1961,2,13,00:00,UTC,0.1,-1,-0.6,0.2,-3
1961,2,14,00:00,UTC,1,-1,1.7,3.3,-2.9
1961,2,15,00:00,UTC,0,-1,2.4,4.4,0.5
